"Аваха (рзд.)","О ","Дальневосточная",918337,"Ургал I-82, Комсомольск-Сортировочный-431",,
"Авда (рзд.)","О ","Красноярская",889149,"Уяр-30, Саянская-26",,
"Авдон (ОП.)","О ","Куйбышевская",651718,,,
"Аверкино (ОП.)","О ","Куйбышевская",659226,,,
"Аверьяновка","О ","Красноярская",880356,"Ачинск I-162, Анжерская-156",,
"Авиамоторная (ОП.)","О ","Московская",193913,,,
"Авиационная","О 3","Московская",193006,"Коломенское-33, Михнево-43",,
"Авилово","О ","Приволжская",622522,"Балашов I-243, Петров Вал-7",,
"Авсюнино","О 2,3","Московская",231903,"Куровская-12, Нечаевская-97",,
"Автово","3,8Н,10Н,11Н,12Н","Октябрьская",35508,"Санкт-Петербург-Балтийский-0",,
"Автово (перев.)",,"Октябрьская",35404,"Санкт-Петербург-Балтийский-0",,
"Автово (эксп.)",,"Октябрьская",35601,"Санкт-Петербург-Балтийский-0",,
"Автоприбор (ОП.)","О ","Горьковская",262719,,,
"Ага","Б ","Забайкальская",943610,"Карымская-100, Борзя-147",,
"Агарзя (ОП.)","Б ","Горьковская",258224,,,
"Агириш","Б 3","Свердловская",778800,"Ивдель II-264",,
"Агней (рзд.)","О ","Восточно-Сибирская",903524,"Лена-489, Новый Ургал-2090",,
"Агролес (ОП.)","О ","Московская",214221,,,
"Агроном","П 3","Северо-Кавказская",524508,"Тихорецкая-115, Краснодар I-21",,
"Агрыз","П 1,2,3,5","Горьковская",254905,"ТП",,
"Агул (рзд.)","О ","Красноярская",889440,"Тайшет-168, Саянская-81",,
"Ададурово","Б 1,3","Приволжская",622202,"Балашов I-169, Петров Вал-81",,
"Ададым (ОП.)","О ","Красноярская",884018,,,
"Адамовка (узк.)","О ","Южно-Уральская",815747,"Карталы I-197, Никель-156",,
"Адарка","О ","Дальневосточная",974214,"Хабаровск I-513, Сибирцево-73",,
"Аджатар (ОП.)","О ","Южно-Уральская",805020,,,
"Адикаевка (рзд.)","О ","Куйбышевская",633226,"Вернадовка-117, Пенза I-101",,
"Адищево (рзд.)","О ","Свердловская",765321,"Левшино-12, Калино-87",,
"Адлер","П 1,3,4","Северо-Кавказская",532805,"Туапсе-Сортировочная-105, Веселое-11",,
"АдмиралтейскаяСлобода (ОП.)","О ","Горьковская",250228,,,
"Адникан (рзд.)",3,"Дальневосточная",919005,"Новый Ургал-42, Известковая-305",,
"Адо-Тымово (ОП.)","О ","Дальневосточная",997714,,,
"Адриановка","Б 3","Забайкальская",943305,"Карымская-21, Борзя-226",,
"Адуй","Б 3","Свердловская",785403,"Егоршино-65, Аппаратная-42",,
"Азанка","О 3","Свердловская",788408,"Егоршино-210",,
"Азарово","О 3","Московская",188601,"Муратовка-10, Плеханово-131",,
"Азей","Б 3","Восточно-Сибирская",922205,"Тайшет-300, Иркутск-Пассажирский-370",,
"Азиатская","Б 3","Свердловская",772908,"Гороблагодатская-15, Чусовская-168",,
"Азино","О ","Горьковская",276834,"Агрыз-77, Пибаньшур-144",,
"Азобичи (рзд.)","О ","Московская",177450,"Фаянсовая-93, Рославль I-18",,
"Азов","Б 1,3,8Н,10Н,11Н,12Н","Северо-Кавказская",510806,"ТП",,
"Азов (перев.)",,"Северо-Кавказская",518704,"Батайск-30",,
"Азов (эксп.)",,"Северо-Кавказская",510308,"Батайск-30",,
"Азовская","П 3","""ФГУП """"КЖД""""""",869304,"Джанкой-21, Владиславовка-80",,
"Азотная",3,"Московская",172705,"Вязьма-94, Духовская-105",,
"Азям (рзд.)","Х ","Южно-Уральская",807122,"Бердяуш-80, Дружинино-173",,
"Ай","П ","Южно-Уральская",806466,"Бердяуш-34, Полетаево I-152",,
"Айвазовская (эксп.)",,"""ФГУП """"КЖД""""""",868509,"ТП",,
"Айвазовская","Б 1,3,8","""ФГУП """"КЖД""""""",868405,"ТП",,
"Айвазовский (ОП.)","О ","Калининградская",102120,,,
"Айгир (рзд.)","О ","Куйбышевская",654010,"Карталы I-315, Карламан-137",,
"Айдырля","П 1,3,4","Южно-Уральская",815802,"Карталы I-140, Никель-139",,
"Айка (рзд.)","Х ","Свердловская",798236,"Войновка-908",,
"АЙКИНО","О ","Северная",282303,"Котлас-Узловой-238, Микунь-0",,
"Айнак","Б 3","Западно-Сибирская",837303,"Осолодино-77, Кулунда-98",,
"Айюва (ОП.)","О ","Северная",286817,,,
"Ай-Ягун (ОП.)","О ","Свердловская",796955,,,
"Академическая (ОП.)","О ","Восточно-Сибирская",930112,,,
"Академическая","Б 3","Октябрьская",62900,"Бологое-Московское-26, Лихославль-96",,
"Акбаш","О ","Куйбышевская",647523,"ТП",,
"АКВАРЕЛЬ (ОП.)","О ","Приволжская",611570,,"Волгоград II - 7 км, Котельниково - 179 км",
"Акимо-Анненка (ОП.)","О ","Красноярская",880534,,,
"Аккахарью (ОП.)","О ","Октябрьская",23214,,,
"Аккуль","Х ","Куйбышевская",647591,"ТП","Акбаш - 5 км, Алшнаши - 237 км",
"Аконъярви","Б 3","Октябрьская",26809,"Суоярви I-85, Кивиярви-310",,
"Акри","О 3","Московская",192003,"Жилево-14, Ожерелье-16",,
"Аксай (ОП.)","О ","Северо-Кавказская",513626,,,
"Аксака (рзд.)","О ","Дальневосточная",966311,"Комсомольск-Сортировочный-166, Ванино-287",,
"Аксаково","Б 1,3,4,5,8Н","Куйбышевская",656500,"Кинель-290, Чишмы-145",,
"Аксаматово","О ","Горьковская",252420,"Свияжск-118, Юдино-134",,
"Аксарайская","Б ","Приволжская",617505,"ТП",,
